Year,Engine_Size,Mileage,Doors,Owner_Count,Price
0.30434782608695343,0.55,0.11310607424597063,0.9999999999999999,0.75,0.473651923194896
0.43478260869564167,0.95,0.749621568274418,0.0,0.0,0.4540825716213729
0.2608695652173907,0.22499999999999998,0.044711625022505856,0.33333333333333337,1.0,0.4006502668547942
0.8260869565217348,0.175,0.6662432232380419,0.0,0.5,0.33758665112569786
0.21739130434782794,0.65,0.0007868712531924967,0.33333333333333337,0.25,0.5333415127906264
0.9130434782608603,0.525,0.7929094898006815,0.33333333333333337,0.75,0.4136556039506779
1.0,0.5,0.8812724641740186,0.9999999999999999,0.25,0.53450708545488
0.6956521739130324,0.30000000000000004,0.9474730096491755,0.0,0.75,0.36292252009079196
0.6521739130434696,0.0,0.3178059628836831,0.0,0.5,0.47193423716336425
0.0,0.6,0.9278579097231947,0.9999999999999999,0.5,0.0
0.0,0.7,0.8592267322837271,0.6666666666666666,0.25,0.10704864732225017
0.5652173913043441,0.625,0.31090750261734723,0.0,0.75,0.5296607570087725
0.3478260869565162,0.725,0.4575589653309861,0.6666666666666666,0.75,0.4695417459051592
0.043478260869562746,0.8,0.039310220657370915,0.33333333333333337,0.75,0.6050549046070793
0.3478260869565162,0.175,0.9155347056901461,0.6666666666666666,0.5,0.135390466842525
0.30434782608695343,0.375,0.9464460759797547,0.6666666666666666,0.5,0.15471443469725785
0.6521739130434696,0.32499999999999996,0.5267302832069671,0.9999999999999999,0.75,0.3520642905343231
0.7826086956521721,0.8500000000000001,0.7018724868465801,0.9999999999999999,0.25,0.5330347831421385
0.43478260869564167,0.825,0.1729382972906289,0.6666666666666666,0.0,0.7276854180725109
1.0,0.925,0.3410586752555665,0.6666666666666666,0.0,0.7762100484632845
0.21739130434782794,0.125,0.2817732610478725,0.9999999999999999,1.0,0.20912827433899764
0.6086956521739069,0.175,0.19934516307573302,0.9999999999999999,0.5,0.4786822894300963
0.4782608695652186,0.525,0.13855935876661266,0.9999999999999999,0.0,0.47040058892092507
0.956521739130423,0.5,0.37895519501737124,0.6666666666666666,0.0,0.6702656278755904
0.043478260869562746,0.175,0.08303492241316077,0.33333333333333337,0.0,0.22090669284093004
0.6521739130434696,0.6,0.884159881569208,0.0,1.0,0.34936506962763025
0.0,0.2,0.5383466367922326,0.33333333333333337,1.0,0.04110177289736827
0.30434782608695343,0.8,0.289578623775515,0.33333333333333337,0.5,0.500705478191522
0.8260869565217348,0.375,0.07224878468401785,0.0,0.75,0.819949696337648
0.5217391304347814,0.525,0.7044498236208081,0.33333333333333337,0.5,0.4952456904484387
0.3478260869565162,0.725,0.9413414154346796,0.33333333333333337,1.0,0.29151585792282686
0.30434782608695343,0.125,0.6410133301325011,0.9999999999999999,0.25,0.20575424820563157
0.5217391304347814,0.475,0.8927221077480145,0.0,0.5,0.19900619593889948
0.6956521739130324,0.025000000000000022,0.8660051613419489,0.6666666666666666,0.5,0.29470584626710017
0.2608695652173907,0.725,0.34269576756623393,0.9999999999999999,1.0,0.44432856879946014
0.3913043478260789,0.625,0.2548129180253533,0.6666666666666666,0.25,0.5380651493773388
0.8260869565217348,0.875,0.6247857776355186,0.6666666666666666,0.0,0.6472609042390037
1.0,0.8999999999999999,0.23033988837097646,0.33333333333333337,1.0,0.8108091528127109
0.4782608695652186,0.32499999999999996,0.9195157407592641,0.33333333333333337,0.5,0.2566100239249126
0.30434782608695343,0.475,0.591510459386107,0.6666666666666666,0.0,0.3098582909023987
0.9130434782608603,0.8,0.8779049219463727,0.6666666666666666,0.25,0.449849702472241
0.8695652173912976,0.42500000000000004,0.9842392355345723,0.0,0.5,0.5149990798110545
0.7826086956521721,0.125,0.3867705603456899,0.6666666666666666,0.25,0.47107539414759825
0.13043478260868824,0.175,0.10000600156040572,0.6666666666666666,0.5,0.2514569658303172
0.08695652173912549,0.15000000000000002,0.41961910096625127,0.0,0.5,0.10931844672106006
0.3913043478260789,0.07500000000000001,0.2545328452064204,0.9999999999999999,0.75,0.2804735905772652
